,step,n_samples,n_centers,features,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,300,2,2,0.2,4,1.2450126481010986,0.005039144326996285,0.2982423040824403,0.2171321061534727,0.29960316991764846,0.0
1,1,300,2,2,0.2,4,0.8967021497563532,0.9710245035703121,0.9487296732702047,0.6185137696066513,0.9487296732702047,0.9570384404822789
2,2,300,2,2,0.2,4,1.1755915416033251,0.721544181528068,0.5852876796284338,0.402353477532961,0.5451639969263745,0.7576002324542637
3,3,300,2,2,0.2,4,1.1603153099970938,0.5835779357150024,0.5662626049187967,0.3316010842889338,0.48355908729430247,0.5862980371418021
4,4,300,2,2,0.2,4,1.256346640258069,0.0,0.3325209343628719,0.19830544750692036,0.26816174550438,0.0
5,5,300,2,2,0.2,4,1.2343688019139074,-0.002182257908773975,0.01789376145149523,0.15280506680133085,0.05243857602016795,0.02601212941508564
6,6,300,2,2,0.2,4,1.2154597966965686,0.6150584270132609,0.5585973807997013,0.37991517199114677,0.46525416147883236,0.0
7,7,300,2,2,0.2,4,1.215133498082965,0.6894246859793954,0.5941927160302866,0.37374011444272515,0.46525416147883236,0.10031788091477023
8,8,300,2,2,0.2,4,1.224472362039243,0.8482554258646036,0.7280401604194966,0.47188117814546265,0.6099574032387208,0.7182575119327452
9,9,300,2,2,0.2,4,0.8694318110503335,1.0,0.9710245035703119,0.5776456682149318,0.9710245035703121,1.0
10,0,300,2,3,0.2,6,1.689874109232375,0.5300244784711938,0.5451639969263745,0.0,0.5025320539921462,0.0
11,1,300,2,3,0.2,6,1.5883235190212177,0.8779111584693444,0.7177653024503359,0.10866659642842764,0.7493627854423113,0.7195391497019222
12,2,300,2,3,0.2,6,1.6075070984828617,0.7510169716758923,0.6600683003644753,0.03097337334634684,0.6883154834279879,0.0
13,3,300,2,3,0.2,6,1.6379701198009968,0.9710245035703121,0.7280401604194968,0.06110507603647233,0.7956334872879172,0.7866752304708213
14,4,300,2,3,0.2,6,1.4064144674251853,1.0,0.820996403072459,0.20891740026675568,0.9487296732702047,0.9108103503831168
15,5,300,2,3,0.2,6,1.0554497201330268,1.0,0.9710245035703121,0.4778355419320773,1.0,1.0
16,6,300,2,3,0.2,6,1.303438455681057,1.0,0.9487296732702047,0.2905040719375451,1.0,1.0
17,7,300,2,3,0.2,6,1.5495057027581636,0.9710245035703119,0.9108103503831166,0.07489248603400463,0.9108103503831168,0.9108103503831168
18,8,300,2,3,0.2,6,0.9231625143450212,1.0,1.0,0.534516701324318,1.0,1.0
19,9,300,2,3,0.2,6,1.525829017029658,0.7794994154119462,0.6894246859793954,0.07944424765032732,0.6979154715565695,0.7670649187879426
20,0,300,2,4,0.2,8,2.018134243743893,0.7280401604194966,0.6600683003644753,0.0,0.6518386493868353,0.08653529949951179
21,1,300,2,4,0.2,8,1.8763421633988946,0.9487296732702047,0.8482554258646036,0.0,0.8938790388937221,0.8627423036081134
22,2,300,2,4,0.2,8,1.8998664854868221,0.8938790388937221,0.8081015108926131,0.0,0.8627423036081134,0.8779111584693444
23,3,300,2,4,0.2,8,1.8108539705925546,0.820996403072459,0.8081015108926131,0.0,0.7956334872879172,0.8627423036081134
24,4,300,2,4,0.2,8,1.71198228375192,0.9710245035703121,0.928953508653138,0.0,0.9487296732702047,0.9487296732702047
25,5,300,2,4,0.2,8,1.4827092910129178,1.0,0.928953508653138,0.0,0.9710245035703119,0.946640967223933
26,6,300,2,4,0.2,8,1.4248660159864035,1.0,0.9710245035703121,0.0,1.0,0.9153073831952881
27,7,300,2,4,0.2,8,1.6355261241062493,1.0,1.0,0.0,1.0,1.0
28,8,300,2,4,0.2,8,1.4029145183492946,1.0,1.0,0.0,1.0,0.9360123601193194
29,9,300,2,4,0.2,8,2.03455801982845,0.6118027969670576,0.5852876796284338,0.0,0.535812979969456,0.039740041237260756
30,0,300,2,5,0.2,10,2.129713275690713,0.9487296732702047,0.9487296732702047,0.0,0.9710245035703121,0.908916597910734
31,1,300,2,5,0.2,10,1.8296283231628312,1.0,1.0,0.0,1.0,0.9426095531866413
32,2,300,2,5,0.2,10,2.295916358417064,0.4592910964843314,0.5427423638782602,0.0,0.41381374054971887,0.12632191325940895
33,3,300,2,5,0.2,10,1.773755239535091,1.0,0.9710245035703121,0.0,1.0,1.0
34,4,300,2,5,0.2,10,1.284891306509358,1.0,1.0,0.0,1.0,0.9360123601193194
35,5,300,2,5,0.2,10,1.8177965097330517,1.0,0.928953508653138,0.0,0.9710245035703119,0.8943146128730972
36,6,300,2,5,0.2,10,1.7593487421533345,0.9710245035703121,0.9487296732702047,0.0,0.9710245035703119,0.9710245035703119
37,7,300,2,5,0.2,10,1.5841721507579656,1.0,1.0,0.0,1.0,1.0
38,8,300,2,5,0.2,10,1.7894853891996527,1.0,1.0,0.0,1.0,1.0
39,9,300,2,5,0.2,10,2.304446626207964,0.7331945611438865,0.7319757098954076,0.0,0.6606876411253394,0.07711171264789651
40,0,300,2,10,0.2,20,2.9375458378894073,1.0,0.9710245035703121,0.0,1.0,0.9710245035703119
41,1,300,2,10,0.2,20,3.1236175984277375,1.0,1.0,0.0,1.0,0.8856155682979373
42,2,300,2,10,0.2,20,2.8297466759654917,1.0,1.0,0.0,1.0,1.0
43,3,300,2,10,0.2,20,3.0516734564832,1.0,1.0,0.0,1.0,0.965664089191093
44,4,300,2,10,0.2,20,2.5417466067893293,1.0,1.0,0.0,1.0,0.965664089191093
45,5,300,2,10,0.2,20,2.737264136106634,1.0,1.0,0.0,1.0,0.942199896388327
46,6,300,2,10,0.2,20,2.507856082866424,1.0,1.0,0.0,1.0,1.0
47,7,300,2,10,0.2,20,2.5071406288106943,1.0,1.0,0.0,1.0,0.9181319415802629
48,8,300,2,10,0.2,20,2.895227311920299,1.0,1.0,0.0,1.0,1.0
49,9,300,2,10,0.2,20,2.570322708870333,1.0,1.0,0.0,1.0,1.0
50,0,300,2,15,0.2,30,3.0821956597844005,1.0,1.0,0.0,1.0,0.8793173202022453
51,1,300,2,15,0.2,30,3.2635219206030572,1.0,1.0,0.0,1.0,0.8932489080324552
52,2,300,2,15,0.2,30,3.958220953200368,0.9710245035703119,1.0,0.0,1.0,0.8921889860253943
53,3,300,2,15,0.2,30,3.586225910534695,1.0,1.0,0.0,1.0,0.974955976178466
54,4,300,2,15,0.2,30,2.9745169126915547,1.0,1.0,0.0,1.0,0.921552632961777
55,5,300,2,15,0.2,30,3.8493945248137957,1.0,1.0,0.0,1.0,0.974955976178466
56,6,300,2,15,0.2,30,3.159503814026533,1.0,1.0,0.0,1.0,0.9041023450243327
57,7,300,2,15,0.2,30,3.326018838824459,1.0,1.0,0.0,1.0,0.947838695563725
58,8,300,2,15,0.2,30,3.6965521691145007,0.9710245035703121,0.9710245035703119,0.0,1.0,0.8499707964669108
59,9,300,2,15,0.2,30,2.9936778486089985,1.0,1.0,0.0,1.0,0.9856799013198486
60,0,300,2,20,0.2,40,4.533790520340504,1.0,1.0,0.0,0.9710245035703119,0.8970823866761136
61,1,300,2,20,0.2,40,3.63120457185445,1.0,1.0,0.0,1.0,0.916653665359828
62,2,300,2,20,0.2,40,4.6493831792239995,1.0,1.0,0.0,1.0,0.9390304802878527
63,3,300,2,20,0.2,40,4.335570019053978,1.0,1.0,0.0,1.0,0.8891462664164261
64,4,300,2,20,0.2,40,4.074343251529674,1.0,1.0,0.0,1.0,0.8732974233190905
65,5,300,2,20,0.2,40,3.8912901160884608,1.0,1.0,0.0,1.0,0.9856799013198486
66,6,300,2,20,0.2,40,4.246561357546462,1.0,1.0,0.0,1.0,0.9347292758378144
67,7,300,2,20,0.2,40,4.530091040808256,1.0,1.0,0.0,1.0,0.9856799013198486
68,8,300,2,20,0.2,40,4.217402229498877,1.0,1.0,0.0,1.0,0.8647549709453454
69,9,300,2,20,0.2,40,4.206570194233687,1.0,1.0,0.0,1.0,0.9612442052985076
