,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,1000,2,0.01,0.2,4,1.2451043502783168,0.2382062304715819,0.38722345325578117,1.0,0.43942478329660783,0.4366952597833216
1,1,1000,2,0.01,0.2,4,1.2461089017778066,0.24455578184318957,0.38225979372124724,1.0,0.4449138755528983,0.442158812943038
2,2,1000,2,0.01,0.2,4,1.2455757984958185,0.2417665482098849,0.38225979372124724,1.0,0.44217534771494277,0.43942478329660783
3,3,1000,2,0.01,0.2,4,1.246322654524453,0.24323518244781983,0.38474582852239125,1.0,0.442158812943038,0.442158812943038
4,4,1000,2,0.01,0.2,4,1.2453381320135797,0.20944911195249005,0.3897321571314679,1.0,0.43942478329660783,0.4367114340736113
5,5,1000,2,0.01,0.2,4,1.2445713234704276,0.20697836002189038,0.3897722092016269,1.0,0.442158812943038,0.43942478329660783
6,6,1000,2,0.01,0.2,4,1.2454543333228412,0.2125093090058142,0.3797915042088826,1.0,0.442158812943038,0.442158812943038
7,7,1000,2,0.01,0.2,4,1.2462369929584145,0.24089057421389742,0.38474582852239125,1.0,0.4449138755528983,0.442158812943038
8,8,1000,2,0.01,0.2,4,1.2451521025572347,0.24140584704883597,0.38474582852239125,1.0,0.43675996786018667,0.431297935295221
9,9,1000,2,0.01,0.2,4,1.2463964692433875,0.24048241097459738,0.39223216244724146,1.0,0.4366952597833216,0.4339864245294508
10,0,1000,2,0.05,0.2,4,1.2442718779792963,0.30501849388781405,0.4023867337732884,1.0,0.4339864245294508,0.4312821111119288
11,1,1000,2,0.05,0.2,4,1.2490816228697923,0.3247248160429868,0.37741677322038497,0.9948145294868933,0.4346598955111596,0.4287861036841957
12,2,1000,2,0.05,0.2,4,1.246873671040262,1.0,0.37736605310112614,1.0,0.4394574924968023,0.4394574924968023
13,3,1000,2,0.05,0.2,4,1.2475455376076958,0.3149893100774743,0.377594437131171,1.0,0.4367114340736113,0.442158812943038
14,4,1000,2,0.05,0.2,4,1.2485508930459241,0.5682817721272693,0.38225979372124724,1.0,0.4366952597833216,0.4366952597833216
15,5,1000,2,0.05,0.2,4,1.2399019225070318,0.3127070527432044,0.3872498756234689,1.0,0.431297935295221,0.431297935295221
16,6,1000,2,0.05,0.2,4,1.2455423872507327,0.3437024519736355,0.3773406998654334,1.0,0.4285981514788368,0.431297935295221
17,7,1000,2,0.05,0.2,4,1.2473862396843571,0.36428795651160384,0.37741677322038497,1.0,0.4422249634432043,0.44774106479738407
18,8,1000,2,0.05,0.2,4,1.2429097419664945,0.37830287149089786,0.3799068078206994,1.0,0.4450142219607643,0.43942478329660783
19,9,1000,2,0.05,0.2,4,1.2493885830236084,0.5630399054304922,0.3798427386634425,1.0,0.4340184231355612,0.43401842313556116
20,0,1000,2,0.1,0.2,4,1.246380013173654,0.5116776028984238,0.40241486646708113,0.9630578018303627,0.43945749249680244,0.4476734284462058
21,1,1000,2,0.1,0.2,4,1.251153125028158,0.9811693365110503,0.3652439128773135,0.9673364427756311,0.41334529149624316,0.40770612133716344
22,2,1000,2,0.1,0.2,4,1.24872458104702,0.9791708810534733,0.38722345325578117,-0.0006043380522997003,0.42084714101866216,0.4368408939198056
23,3,1000,2,0.1,0.2,4,1.2471929386244804,0.97075917479697,0.3828042908106824,0.9597851568079352,0.4366952597833216,0.45892933099911865
