,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,50,2,0.15,0.2,4,1.2564902703143153,0.47033939895748234,0.35611195496627157,0.0987710188547367,0.4084454855199277,0.52633253182663
1,1,50,2,0.15,0.2,4,1.2062717263395077,0.23453381325321435,0.31065051600811683,0.0,0.4084454855199277,0.2809439246918379
2,2,50,2,0.15,0.2,4,1.2467167097951606,0.7245795742486357,0.3610606697982314,0.0987710188547367,0.3610606697982314,0.3610606697982314
3,3,50,2,0.15,0.2,4,1.240090570064892,0.3371536011350876,0.31065051600811683,0.0,0.31065051600811683,0.31065051600811683
4,4,50,2,0.15,0.2,4,1.1811652750996624,0.35611195496627157,0.35611195496627157,0.0,0.35611195496627157,0.35611195496627157
5,5,50,2,0.15,0.2,4,1.2156133302413847,0.7930417850681778,0.3610606697982315,0.0,0.3610606697982314,0.30705428997692513
6,6,50,2,0.15,0.2,4,1.2398686752605288,0.3371536011350876,0.3610606697982314,0.0,0.4211090269216043,0.4211090269216043
7,7,50,2,0.15,0.2,4,1.1935383036887968,0.4830563043885644,0.3610606697982314,0.0,0.3610606697982314,0.3610606697982314
8,8,50,2,0.15,0.2,4,1.2152920691988067,0.4626454383768708,0.4084454855199277,0.0,0.4084454855199277,0.35611195496627157
9,9,50,2,0.15,0.2,4,1.191229297438516,0.47033939895748234,0.4084454855199277,0.0987710188547367,0.4084454855199277,0.4084454855199277
10,0,100,2,0.15,0.2,4,1.2610527448919782,0.7245153084203908,0.3887104336742038,0.14929582098274852,0.4686069584125658,0.4686069584125658
11,1,100,2,0.15,0.2,4,1.231967122140241,0.517514701920283,0.361010709563694,0.21996077195433825,0.3610107095636941,0.3859961607848051
12,2,100,2,0.15,0.2,4,1.2261520295059902,0.41754065356161446,0.38871043367420394,0.22770919244166685,0.4422384091438309,0.4422384091438309
13,3,100,2,0.15,0.2,4,1.2505415739444619,0.48457337259094396,0.33771649146422195,0.17643476180059675,0.41754065356161446,0.4129491916604731
14,4,100,2,0.15,0.2,4,1.234300666743907,0.3241229939324726,0.41754065356161446,0.21860209663863414,0.41754065356161446,0.41754065356161446
15,5,100,2,0.15,0.2,4,1.2194490387448393,0.3241229939324726,0.3610107095636941,0.18374142526731424,0.4114508587079951,0.4114508587079951
16,6,100,2,0.15,0.2,4,1.2401436700807569,0.8575159537539401,0.3610107095636941,0.16386793656762988,0.4129491916604731,0.3444526735878944
17,7,100,2,0.15,0.2,4,1.2260265562896038,0.5693070372035665,0.3399252408345929,0.22491642612564758,0.41145085870799497,0.4667336772399775
18,8,100,2,0.15,0.2,4,1.2447044093605515,0.7592561769713602,0.3444526735878944,0.2011964261363348,0.41754065356161446,0.41754065356161446
19,9,100,2,0.15,0.2,4,1.2361351425815048,0.7631083245723179,0.4686069584125658,0.20527715905187185,0.5299387237037455,0.5011903495264968
20,0,200,2,0.15,0.2,4,1.235277118109227,0.5432989794586969,0.35215202062624146,0.2727574917142108,0.37623423541172724,0.42702254714661014
21,1,200,2,0.15,0.2,4,1.242386693764344,0.7601512023619559,0.36458891764521767,0.3130652937537484,0.4014319113264791,0.4140023860883964
22,2,200,2,0.15,0.2,4,1.2537717430397572,0.6031337683063827,0.4007249724822455,0.3110120677427855,0.44052867841717425,0.42702254714661014
23,3,200,2,0.15,0.2,4,1.2407043914707996,0.8580435833306056,0.3515769857726702,0.34128866503647903,0.4014319113264791,0.4014319113264791
24,4,200,2,0.15,0.2,4,1.2510002071276802,0.6299719442360547,0.3515769857726702,0.3614212667622637,0.38793543320498175,0.4140023860883964
25,5,200,2,0.15,0.2,4,1.2332869604149101,0.7277060269044858,0.4007249724822455,0.31670981821216954,0.4545625951502353,0.4409435851234497
26,6,200,2,0.15,0.2,4,1.2312734817805004,0.5936875064235466,0.3286089451430856,0.3372787755872405,0.4136303022488559,0.4140023860883964
27,7,200,2,0.15,0.2,4,1.24662177172662,0.48981802905864613,0.3515769857726702,0.3130371350967147,0.4014319113264791,0.38927934381834106
28,8,200,2,0.15,0.2,4,1.221555953548655,0.4103212083689932,0.3409915880403182,0.30055017835119796,0.38793543320498164,0.4007249724822455
29,9,200,2,0.15,0.2,4,1.257435327875344,0.47060880318336407,0.4007249724822455,0.3405206878959552,0.42702254714661014,0.46917301196465344
30,0,400,2,0.15,0.2,4,1.243094619759592,0.45705060315458707,0.40252597255837497,0.034415416907179114,0.44976841243127186,0.48622843131442306
31,1,400,2,0.15,0.2,4,1.2416150764099,0.5085199693977775,0.3903959122007105,0.4728196171453217,0.40252597255837497,0.4092907559540423
