,step,n_samples,jitter,eps,min_pts,DBSCAN
0,0,1000,0.15,0.8,56,0.0
1,1,1000,0.15,0.8,56,0.0
2,2,1000,0.15,0.8,56,0.0
3,3,1000,0.15,0.8,56,0.0
4,4,1000,0.15,0.8,56,0.0
5,5,1000,0.15,0.8,56,0.0
6,6,1000,0.15,0.8,56,0.0
7,7,1000,0.15,0.8,56,0.0
8,8,1000,0.15,0.8,56,0.0
9,9,1000,0.15,0.8,56,0.0
10,0,1000,0.15,0.6000000000000001,61,7.672985006701068e-15
11,1,1000,0.15,0.6000000000000001,61,-0.0013392348928535655
12,2,1000,0.15,0.6000000000000001,61,0.006051464946915319
13,3,1000,0.15,0.6000000000000001,61,-0.0019639383428045358
14,4,1000,0.15,0.6000000000000001,61,0.001967874090988233
15,5,1000,0.15,0.6000000000000001,61,-0.00023081117047264892
16,6,1000,0.15,0.6000000000000001,61,7.672985006701068e-15
17,7,1000,0.15,0.6000000000000001,61,-0.0013392348928535655
18,8,1000,0.15,0.6000000000000001,61,-0.00132521548872384
19,9,1000,0.15,0.6000000000000001,61,0.0
20,0,1000,0.15,0.7000000000000001,43,0.0
21,1,1000,0.15,0.7000000000000001,43,7.672985006701068e-15
22,2,1000,0.15,0.7000000000000001,43,0.0
23,3,1000,0.15,0.7000000000000001,43,0.0
24,4,1000,0.15,0.7000000000000001,43,0.0
25,5,1000,0.15,0.7000000000000001,43,0.0
26,6,1000,0.15,0.7000000000000001,43,0.0
27,7,1000,0.15,0.7000000000000001,43,0.0
28,8,1000,0.15,0.7000000000000001,43,0.0
29,9,1000,0.15,0.7000000000000001,43,0.0
30,0,1000,0.15,0.9,45,0.0
31,1,1000,0.15,0.9,45,0.0
32,2,1000,0.15,0.9,45,0.0
33,3,1000,0.15,0.9,45,0.0
34,4,1000,0.15,0.9,45,0.0
35,5,1000,0.15,0.9,45,0.0
36,6,1000,0.15,0.9,45,0.0
37,7,1000,0.15,0.9,45,0.0
38,8,1000,0.15,0.9,45,0.0
