,step,n_samples,n_centers,n_features,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,600,8,20,8,0.2,40,5.825779587395727,0.48048619933105546,1.0,0.0,1.0,0.0
1,1,600,8,20,8,0.2,40,6.020399835819169,1.0,1.0,0.0,1.0,0.0
2,2,600,8,20,8,0.2,40,5.876399851799216,0.0,1.0,0.0,1.0,0.0
3,3,600,8,20,8,0.2,40,5.9241179431702236,0.48048619933105546,1.0,0.0,1.0,0.0
4,4,600,8,20,8,0.2,40,5.932517947492019,0.49787100598721273,1.0,0.0,1.0,0.0
5,5,600,8,20,8,0.2,40,6.046422712901755,0.0,1.0,0.0,1.0,0.0
6,6,600,8,20,8,0.2,40,6.039325331087908,0.49787100598721273,1.0,0.0,1.0,0.0
7,7,600,8,20,8,0.2,40,5.925392313035696,0.0,1.0,0.0,1.0,0.0
8,8,600,8,20,8,0.2,40,6.052339165611001,0.48048619933105546,1.0,0.0,1.0,0.0
9,9,600,8,20,8,0.2,40,5.981268506324261,0.48048619933105546,1.0,0.0,1.0,0.0
10,0,1000,3,4,3,0.2,8,1.7385303503505276,0.724835096361154,0.9086871413657617,0.2903419192234777,0.8849371940619892,0.7060996095866161
11,1,1000,3,4,3,0.2,8,1.7304231325773345,0.9764387869877069,0.9403848228750561,0.3096680685951007,0.9347636640172657,0.9437248522634811
12,2,1000,3,4,3,0.2,8,1.9402998560670444,0.6240735588461871,0.6781688091704817,0.06703707108809072,0.312036552648273,0.5014745523660296
13,3,1000,3,4,3,0.2,8,1.7801026324369602,0.973212006050697,0.9182485716716602,0.2771269363610553,0.9277977577946555,0.9186990603488762
14,4,1000,3,4,3,0.2,8,1.6924375535455392,0.9383614815293695,0.8640592168341533,0.38017301107529516,0.8769336139305338,0.9189094651482468
15,5,1000,3,4,3,0.2,8,1.6986972239744595,0.9937902427485361,0.9488768945035176,0.4222971839818887,0.9700868316469338,0.9488768945035176
16,6,1000,3,4,3,0.2,8,1.3326735360138502,0.7337097087878175,0.840258462276758,0.4761098176703994,0.8154413724137146,0.7263624131151503
17,7,1000,3,4,3,0.2,8,1.7052316912968692,0.9167154448235458,0.8636521012341367,0.4761098176703994,0.8649542367544493,0.889111148646275
18,8,1000,3,4,3,0.2,8,1.5738350191277932,0.7263624131151503,0.7330229184085143,0.34319485194982463,0.7185265729895101,0.5334607853770419
19,9,1000,3,4,3,0.2,8,1.9160344152919293,0.6880006104262337,0.8472483187926624,0.13701051694865182,0.8630684569448146,0.5730046976332411
20,0,100,7,18,7,0.2,36,5.612481977990083,0.5063758837147626,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
21,1,100,7,18,7,0.2,36,5.59976937576239,-4.565495907126738e-16,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
22,2,100,7,18,7,0.2,36,5.474547011210324,-4.565495907126738e-16,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
23,3,100,7,18,7,0.2,36,5.82310002896974,-4.565495907126738e-16,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
24,4,100,7,18,7,0.2,36,5.551693076758909,-4.565495907126738e-16,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
25,5,100,7,18,7,0.2,36,5.638131994968492,-4.565495907126738e-16,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
26,6,100,7,18,7,0.2,36,5.591493682086676,-4.565495907126738e-16,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
27,7,100,7,18,7,0.2,36,5.68745625858703,-4.565495907126738e-16,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
28,8,100,7,18,7,0.2,36,5.624422197335946,0.45915888598097127,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
29,9,100,7,18,7,0.2,36,5.626054889284113,0.5081417788061569,1.0,-4.565495907126738e-16,1.0,-4.565495907126738e-16
30,0,1200,10,2,10,0.2,4,1.1963497883448628,0.5612060988095261,0.7978531345477606,0.3733093621468496,0.5168763818572476,0.23738757941655622
31,1,1200,10,2,10,0.2,4,1.1710131683173328,0.38362719478188056,0.6012707553190536,0.04650433580423237,0.5541192506495535,0.3585518781666379
32,2,1200,10,2,10,0.2,4,1.292382040105824,0.5815327128769482,0.710433647056202,0.29211640919356857,0.5867969923636482,7.714619732433305e-16
33,3,1200,10,2,10,0.2,4,1.2502899500368645,0.3351927436369344,0.6432048906388662,0.24174464055532155,0.5742716630229215,0.35657917350443435
34,4,1200,10,2,10,0.2,4,1.312885119843532,0.637681897504653,0.8118741593061879,0.6958253881641091,0.7634094571360658,0.4386258585251918
35,5,1200,10,2,10,0.2,4,1.2502396508819027,0.5876794376192612,0.6691236220600941,0.4003505847892372,0.6313362697992971,0.3618580014574097
36,6,1200,10,2,10,0.2,4,1.265283109470675,0.3413038251011222,0.705600723068433,0.24589093446956045,0.6890950616640242,0.31836197909698705
37,7,1200,10,2,10,0.2,4,1.2999847124131285,0.5534851612812454,0.77643458487251,0.37453876559236815,0.7340400468809585,7.714619732433305e-16
38,8,1200,10,2,10,0.2,4,1.2055308319696971,0.3175049379723388,0.6357794433061993,0.2117620201859316,0.618833398251642,7.714619732433305e-16
39,9,1200,10,2,10,0.2,4,1.3147972495267533,0.6029719111058995,0.7455284805725755,0.5314544452043503,0.714434491811249,0.3501579191479683
40,0,1400,3,6,3,0.2,12,2.3452987431285153,0.733219287681954,0.9472582837129679,-1.078710241876221e-15,0.9610424019197712,0.7218536305483156
41,1,1400,3,6,3,0.2,12,2.1312634870922835,0.7236788959788769,0.9560333036112214,-1.078710241876221e-15,0.9641067940276625,0.9560333036112214
42,2,1400,3,6,3,0.2,12,2.1253805222910818,0.7335812981447939,0.9151840824233944,-1.078710241876221e-15,0.9249077152743926,0.675372122417508
43,3,1400,3,6,3,0.2,12,2.0760177154731845,1.0,0.9832008378962763,-1.078710241876221e-15,1.0,0.9869487206192707
44,4,1400,3,6,3,0.2,12,2.3712531051815997,0.733219287681954,0.9832008378962763,-1.078710241876221e-15,1.0,0.7171693698463469
45,5,1400,3,6,3,0.2,12,1.710622286102025,1.0,0.9953482939356191,-1.078710241876221e-15,0.9953482939356191,0.9953482939356191
46,6,1400,3,6,3,0.2,12,2.042469224449747,0.7335812981447939,0.9635892633012538,-1.078710241876221e-15,0.9544465160153365,0.9510943400324448
47,7,1400,3,6,3,0.2,12,2.132726641043323,0.7335812981447939,0.9763051520613572,-1.078710241876221e-15,0.9763051520613572,0.9763051520613572
48,8,1400,3,6,3,0.2,12,2.1784752676473844,0.7335812981447939,0.9589108545339549,-1.078710241876221e-15,0.9719628141739944,0.9685579870514257
49,9,1400,3,6,3,0.2,12,1.6656982748810631,1.0,1.0,0.02585357315179295,1.0,1.0
50,0,300,6,7,6,0.2,14,3.048841065588864,-4.957018143082464e-16,0.9839171232521845,0.09528615722770284,0.9638306767688959,0.39727091202244713
51,1,300,6,7,6,0.2,14,3.10027826449059,-4.957018143082464e-16,1.0,0.2594727008406859,1.0,0.39727091202244713
52,2,300,6,7,6,0.2,14,3.1864098668429763,0.508779238957864,0.9812936346026009,-4.957018143082464e-16,0.9812936346026009,-4.957018143082464e-16
53,3,300,6,7,6,0.2,14,3.073137785361941,0.5059180802095804,1.0,-4.957018143082464e-16,1.0,-4.957018143082464e-16
54,4,300,6,7,6,0.2,14,3.120129327100271,0.5209178399202061,0.9906374547047644,0.19450203200314994,1.0,-4.957018143082464e-16
55,5,300,6,7,6,0.2,14,3.060925358884536,0.5416103452572292,0.9719109691126111,-4.957018143082464e-16,0.9651700682385179,0.37510000234206886
56,6,300,6,7,6,0.2,14,3.34067370207987,0.5209178399202061,0.9906374547047643,0.08182434677567325,0.9906374547047644,-4.957018143082464e-16
57,7,300,6,7,6,0.2,14,3.1567606931089607,0.5209178399202061,0.9279962000562267,-4.957018143082464e-16,0.8237216533584365,-4.957018143082464e-16
58,8,300,6,7,6,0.2,14,3.2074011912736795,-4.957018143082464e-16,0.9688873138082192,-4.957018143082464e-16,0.9571847138060438,-4.957018143082464e-16
59,9,300,6,7,6,0.2,14,3.1906192734927505,0.5548646310153953,0.9685265671870938,-4.957018143082464e-16,0.9604318620946688,0.6378662612145178
60,0,700,7,7,7,0.2,14,3.022053899615672,9.128668352245423e-16,0.9801950826957885,0.29162906909855313,0.9707836913540172,0.3457276776459003
61,1,700,7,7,7,0.2,14,3.1060197714330675,0.5179741808210531,0.9630756215719254,0.3370916318181531,0.9536720703851785,0.3407150911808287
62,2,700,7,7,7,0.2,14,3.16903767821926,0.502555376090032,0.980195002595006,9.128668352245423e-16,0.9729029021044873,9.128668352245423e-16
63,3,700,7,7,7,0.2,14,3.1975922892457582,0.45903190023002916,0.9958290058018162,0.20995599447122815,0.9874980957882008,9.128668352245423e-16
64,4,700,7,7,7,0.2,14,3.139880700465543,0.46850026440041936,0.9757984989848515,0.3370916318181531,0.9718836314827726,9.128668352245423e-16
65,5,700,7,7,7,0.2,14,3.154935977493113,9.128668352245423e-16,0.995829005801816,0.29653646639479336,0.9916617074409628,9.128668352245423e-16
66,6,700,7,7,7,0.2,14,3.3256370657068586,9.128668352245423e-16,1.0,0.29162906909855313,1.0,9.128668352245423e-16
67,7,700,7,7,7,0.2,14,3.1151794033187445,0.5179741808210531,0.9611688026931029,0.20637985778620277,0.9578279408527232,9.128668352245423e-16
68,8,700,7,7,7,0.2,14,3.2413425661920887,0.5179741808210531,1.0,0.3178503162656774,1.0,9.128668352245423e-16
69,9,700,7,7,7,0.2,14,3.154730008383636,0.5179741808210531,0.9832563731161666,0.3015864845477756,0.9564781489705425,0.3457276776459003
70,0,300,5,7,5,0.2,14,2.984869999329053,-1.1037125605632744e-15,1.0,-1.1037125605632744e-15,0.9747443892620193,0.7397206981752527
