,step,n_samples,jitter,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,600,0.2,2,0.2,4,1.2974851208764082,0.0024523752875060794,-0.001198733064660822,0.014461601838410552,-0.001174616017276061,-0.0018429118146959709
1,1,600,0.2,2,0.2,4,1.2996884035886065,-0.0011684695099660606,-0.001134799287537193,0.03495771684037221,-0.0010061061062882216,-0.0018057549099889075
2,2,600,0.2,2,0.2,4,1.298184361041262,-0.0018350155585254789,-0.0011345259821816463,0.01888989920708291,-0.0011351335421496997,-0.002214013988998361
3,3,600,0.2,2,0.2,4,1.2965408696343932,-0.0005529610569937936,-0.0011746864456540957,0.010988427365502661,-0.001078328499059922,-0.001699983693117818
4,4,600,0.2,2,0.2,4,1.2957027564250336,-0.0010083438261471618,-0.0010784227392839798,0.008614389661078437,-0.0009178413270041097,-0.002312579090372941
5,5,600,0.2,2,0.2,4,1.2954790876575204,-0.0005557817866464681,-0.0012072038095477155,0.01370522760257504,-0.001199267202452529,-0.0011876536429063762
6,6,600,0.2,2,0.2,4,1.298401228118171,-0.0027567530489705353,-0.0011347992875371936,0.04006943186208982,-0.0011994963305910036,-0.0018161456643271776
7,7,600,0.2,2,0.2,4,1.2967468076846886,-0.0006927875684861937,-0.0010060912894732364,0.010886272629296109,-0.0005565765545076872,-0.001650859792602616
8,8,600,0.2,2,0.2,4,1.2972391043131393,-0.0011347992875371936,-0.001174616017276061,0.017054691956638775,-0.000692787568486196,-0.0017618420161251097
9,9,600,0.2,2,0.2,4,1.296246750979592,-0.0014439471705659666,-0.001198733064660822,0.03594151593459728,-0.0010790708873873191,-0.001761123147270821
10,0,1200,0.12,2,0.2,4,1.289848894182975,0.005299462188924053,-0.0005040328795412055,0.002073148473736002,-0.00047394836754580306,-0.0005088101769718047
11,1,1200,0.12,2,0.2,4,1.2903995480966153,0.001923382553658661,-0.0005843489315123122,0.004260544903846083,-0.0005701759600639851,-0.0009349103516793734
12,2,1200,0.12,2,0.2,4,1.2903737441495635,0.005967583624763744,-0.0005701584900926038,0.002142640715201705,-0.0005701604311350814,-0.001207074166507546
13,3,1200,0.12,2,0.2,4,1.2902279039778444,-0.0002239233757651231,-0.000602393255664389,0.005849613470124056,-0.0005521140160276521,-0.0007321063870053436
