,step,n_samples,jitter,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,600,0.2,2,0.2,4,1.2727768386617295,0.7424909888401184,0.39787726143904106,0.02207251696608051,0.4329841535960499,0.45676685720486077
1,1,600,0.2,2,0.2,4,1.2566174127988243,0.4869809332829602,0.3339236818078086,0.01558279969615598,0.3690085984254594,0.3984546372084867
2,2,600,0.2,2,0.2,4,1.2423730249797191,0.6168192253509472,0.3540479056405606,-0.0030624164054108825,0.38549162962029204,0.4021040936696213
3,3,600,0.2,2,0.2,4,1.263294875742858,0.5362309409225487,0.35816997099023573,0.0061401042626562765,0.39318204401456053,0.40654135233228594
4,4,600,0.2,2,0.2,4,1.243739261249282,0.7062465786639456,0.39362487692248554,0.06049251673048922,0.4150973971740101,0.4194535029895378
5,5,600,0.2,2,0.2,4,1.2532842535288653,0.7605029649401919,0.3900184673845423,0.11734918306153401,0.4199578898224986,0.4700517918208804
6,6,600,0.2,2,0.2,4,1.254091832962793,0.40995582148675425,0.39370038103276495,0.030955870061324782,0.4195374445976696,0.44658864923251235
7,7,600,0.2,2,0.2,4,1.2609239424899972,0.4522576844967132,0.3649584838780295,0.005828177410553299,0.4150973971740101,0.4195374445976696
8,8,600,0.2,2,0.2,4,1.2549090263902034,0.47654863581423773,0.3613515417367263,0.06677408077262748,0.44207304394859187,0.44649500540875553
9,9,600,0.2,2,0.2,4,1.2480918348973733,0.8144284860160889,0.3696229683637808,0.052714509381400765,0.40257388685181295,0.4199578898224986
10,0,1200,0.12,2,0.2,4,1.2561217168712981,0.5649423770486746,0.38154407568595655,0.0038000602502905752,0.4199613654852408,0.44240991334631696
11,1,1200,0.12,2,0.2,4,1.24590660546498,0.9772697512162112,0.37749187731454553,0.947619391582111,0.4265649896228143,0.43319359717948563
12,2,1200,0.12,2,0.2,4,1.2438926325035264,0.4611071141621642,0.39199760857055105,-0.000507937380287995,0.4286740351500988,0.43996932937834493
13,3,1200,0.12,2,0.2,4,1.2461096010862345,0.9421872437510114,0.38596307559029747,-0.001120495758693423,0.4354305193837357,0.4400148468084098
14,4,1200,0.12,2,0.2,4,1.246117577229032,0.5379966175160994,0.34961738428650674,-0.0011111858983705548,0.41759984450467197,0.42643568175168783
15,5,1200,0.12,2,0.2,4,1.2437715765285504,0.7324639627995208,0.36441834380016597,-0.0006521177422835745,0.4221278553755369,0.43314931993726247
16,6,1200,0.12,2,0.2,4,1.244731885572012,0.9314092651918442,0.38154407568595655,0.941059122027742,0.44458977882404604,0.4514923874570783
17,7,1200,0.12,2,0.2,4,1.2449704703756261,0.5427292975582263,0.3982024063716579,0.941586416274551,0.4331603879701365,0.4309266070791879
18,8,1200,0.12,2,0.2,4,1.247253161947753,0.9298331950897756,0.38151720999860145,-0.0011111858983705548,0.43112419024316906,0.4445434141717871
19,9,1200,0.12,2,0.2,4,1.2495656214517885,0.9683775611618091,0.3613666128837998,0.002142640715201705,0.4067405531892278,0.4243074496813081
20,0,300,0.04,2,0.2,4,1.2448718262193177,1.0,0.37251992083164454,0.9856799013198486,0.4145110030352444,0.4060201167491053
21,1,300,0.04,2,0.2,4,1.2479903320834076,1.0,0.36469078621083106,0.9856799013198486,0.43229560342736667,0.43229560342736667
22,2,300,0.04,2,0.2,4,1.2376723541568635,1.0,0.36428790517796955,0.8022236860571492,0.4412574513937498,0.4412574513937498
23,3,300,0.04,2,0.2,4,1.2347066909684241,0.44867034669530187,0.3565113229719151,1.0,0.43229560342736667,0.43229560342736667
24,4,300,0.04,2,0.2,4,1.246175347308447,1.0,0.39726150814900046,1.0,0.45063788394456833,0.45063788394456833
25,5,300,0.04,2,0.2,4,1.2521073726362077,1.0,0.37224235423650975,1.0,0.4145110030352444,0.4145110030352444
26,6,300,0.04,2,0.2,4,1.238832351242795,0.3234214966578336,0.3890168883466562,0.8334375566950608,0.4412574513937498,0.43229560342736667
27,7,300,0.04,2,0.2,4,1.2388730224784927,0.5605347423947785,0.37307669918845626,1.0,0.43211815810307785,0.43211815810307785
28,8,300,0.04,2,0.2,4,1.2348643175303045,1.0,0.40570116954890134,1.0,0.4416259581035914,0.4416259581035914
29,9,300,0.04,2,0.2,4,1.2370550352612966,0.49706659940653153,0.3887195209757763,1.0,0.4701829726165892,0.4701829726165892
30,0,100,0.18,2,0.2,4,1.2659153161801868,0.6572373895017841,0.41754065356161446,0.12415180998322,0.41754065356161446,0.4667336772399775
31,1,100,0.18,2,0.2,4,1.2332255935784076,0.31914661536818945,0.33771649146422195,0.2199293077892391,0.36222569989642617,0.36222569989642617
32,2,100,0.18,2,0.2,4,1.2355196238622257,0.4422384091438309,0.38871043367420394,0.11879628256674311,0.38871043367420394,0.4129491916604731
33,3,100,0.18,2,0.2,4,1.259951472118924,0.5665601694729497,0.3399252408345929,0.1957213147892597,0.39430024565673816,0.4129491916604731
34,4,100,0.18,2,0.2,4,1.2394373596555084,0.3515392782605942,0.41754065356161446,0.1527423221318957,0.41754065356161446,0.41754065356161446
35,5,100,0.18,2,0.2,4,1.2148609030153878,0.29908103775658135,0.3399252408345929,0.16257284362918878,0.43886533211244977,0.361010709563694
36,6,100,0.18,2,0.2,4,1.2429692979877651,0.5728775906815547,0.3610107095636941,0.1435300068013264,0.4422384091438309,0.3399252408345929
37,7,100,0.18,2,0.2,4,1.2244642872667222,0.5474828232495427,0.33771649146422195,0.2049291790427381,0.3859961607848051,0.41754065356161446
38,8,100,0.18,2,0.2,4,1.2503904993646282,0.7592561769713602,0.3444526735878944,0.17514597090446912,0.37234636062327003,0.37234636062327003
39,9,100,0.18,2,0.2,4,1.2371413635032924,0.7631083245723179,0.49692049675694006,0.20510368661467138,0.5299387237037455,0.5011903495264968
40,0,1000,0.15,2,0.2,4,1.249696970548751,0.8767178033486016,0.3902001341988634,0.0017670772103665603,0.44769033454898305,0.43942478329660783
41,1,1000,0.15,2,0.2,4,1.2543836611275345,0.6585325818711822,0.3510703603418879,-0.0009785008526257796,0.3980597686419301,0.4158737221996652
42,2,1000,0.15,2,0.2,4,1.2511085424521544,0.47772968611044536,0.37015218719712983,-0.001268146220545197,0.43832177340482703,0.45141492553415147
43,3,1000,0.15,2,0.2,4,1.249378623018796,0.9126498038812535,0.3855719342438648,0.00456912310253184,0.4287861036841957,0.4340824417110887
44,4,1000,0.15,2,0.2,4,1.2508611468296453,0.8879862609735325,0.35812411323898075,-0.0009366126266441279,0.3974517842549409,0.4181493744562734
45,5,1000,0.15,2,0.2,4,1.241583930450611,0.8105351830308478,0.3822856747739879,0.0004177313057923115,0.43401842313556116,0.4340184231355612
46,6,1000,0.15,2,0.2,4,1.2451068702227281,0.9083901585618882,0.3629893009096824,-5.508157038175295e-05,0.3972864187762047,0.41547235181916264
47,7,1000,0.15,2,0.2,4,1.2494913005601962,0.5778448212106998,0.36765867382640616,-0.0009785008526257796,0.41281573012701095,0.4344671529418257
48,8,1000,0.15,2,0.2,4,1.2415641937037418,0.864448659102813,0.36284616440108325,0.005225946753601366,0.42328997355389686,0.4312821111119288
49,9,1000,0.15,2,0.2,4,1.2544453273829637,0.9063926496273429,0.37249053911138613,-0.0012588224523557348,0.39984122510493536,0.41799935441351505
50,0,100,0.2,2,0.2,4,1.2691153364367782,0.6572373895017841,0.37234636062327003,0.052972256316785024,0.4492348459699926,0.47438027498552965
51,1,100,0.2,2,0.2,4,1.232686843113424,0.4255409085910655,0.33771649146422195,0.1878778738620809,0.3399252408345929,0.3859961607848051
52,2,100,0.2,2,0.2,4,1.243023274262623,0.5011903495264968,0.38871043367420394,0.12734184521969713,0.38871043367420394,0.4129491916604731
53,3,100,0.2,2,0.2,4,1.2606231941775778,0.43758419869865545,0.3399252408345929,0.15538063758554188,0.39430024565673816,0.3859961607848051
